Category,Product,Unit_Price,Order_Date,City,Sales_Channel,Units_Sold,Stock_Available,Total_Sales
Stationery,Notebook Set,579,2024-01-11 07:00:00,Ludhiana,Online,11,64,6369
Furniture,Dining Chair,689,2024-01-11 08:00:00,Noida,Online,3,191,2067
Stationery,Calculator,514,2024-01-11 09:00:00,Gurugram,Online,2,93,1028
Gardening,Fertilizer,991,2024-01-11 10:00:00,Delhi,Offline,6,31,5946
Beauty & Personal Care,Trimmer,1345,2024-01-11 11:00:00,Jalandhar,Offline,4,53,5380
Stationery,Art Colors,1480,2024-01-11 12:00:00,Jalandhar,Offline,3,12,4440
Gardening,Garden Shovel,202,2024-01-11 13:00:00,Ludhiana,Offline,4,27,808
Men Clothing,Jeans,1235,2024-01-11 14:00:00,Delhi,Online,11,90,13585
Stationery,Backpack,1952,2024-01-11 15:00:00,Patiala,Online,13,176,25376
Women Clothing,Dress,2238,2024-01-11 16:00:00,Noida,Offline,1,31,2238
Home Decor,Photo Frame,220,2024-01-11 17:00:00,Patiala,Online,1,94,220
Electronics,Monitor,10433,2024-01-11 18:00:00,Mohali,Offline,6,173,62598
Books,Mystery,505,2024-01-11 19:00:00,Noida,Online,11,6,5555
Home Decor,Cushion Covers,350,2024-01-11 20:00:00,Gurugram,Offline,12,65,4200
Women Clothing,Skirt,516,2024-01-11 21:00:00,Patiala,Online,5,84,2580
Fitness Gear,Protein Shaker,405,2024-01-11 22:00:00,Mohali,Offline,14,162,5670
Toys & Games,Board Game,1102,2024-01-11 23:00:00,Ludhiana,Online,13,190,14326
Men Clothing,Shorts,488,2024-01-12 00:00:00,Jalandhar,Offline,8,21,3904
Books,Academic,634,2024-01-12 01:00:00,Delhi,Offline,3,172,1902
Kitchen Tools,Kettle,1252,2024-01-12 02:00:00,Delhi,Offline,6,116,7512
Gardening,Fertilizer,991,2024-01-12 03:00:00,Mohali,Online,14,19,13874
Automotive,Tyre Inflator,3495,2024-01-12 04:00:00,Delhi,Online,14,144,48930
Books,Academic,634,2024-01-12 05:00:00,Patiala,Online,9,110,5706
Furniture,Dining Chair,689,2024-01-12 06:00:00,Patiala,Online,14,71,9646
Footwear,Loafers,2362,2024-01-12 07:00:00,Patiala,Online,13,49,30706
Automotive,Tyre Inflator,3495,2024-01-12 08:00:00,Amritsar,Offline,2,139,6990
Home Decor,Curtains,819,2024-01-12 09:00:00,Chandigarh,Online,6,182,4914
Home Decor,Mirror,1840,2024-01-12 10:00:00,Patiala,Offline,5,76,9200
Women Clothing,Lehenga,9426,2024-01-12 11:00:00,Mohali,Online,1,112,9426
Toys & Games,Action Figure,2000,2024-01-12 12:00:00,Mohali,Offline,10,25,20000
Automotive,Engine Oil,2198,2024-01-12 13:00:00,Mohali,Online,12,115,26376
Fitness Gear,Yoga Mat,961,2024-01-12 14:00:00,Gurugram,Online,7,75,6727
Fitness Gear,Dumbbells,4152,2024-01-12 15:00:00,Chandigarh,Online,4,26,16608
Books,Fiction Novel,589,2024-01-12 16:00:00,Gurugram,Offline,11,157,6479
Automotive,Engine Oil,2198,2024-01-12 17:00:00,Gurugram,Offline,3,21,6594
Kitchen Tools,Induction Cooktop,2021,2024-01-12 18:00:00,Patiala,Online,2,33,4042
Electronics,Camera,133355,2024-01-12 19:00:00,Mohali,Online,4,129,533420
Beauty & Personal Care,Face Wash,465,2024-01-12 20:00:00,Jalandhar,Online,5,121,2325
Fitness Gear,Jump Rope,589,2024-01-12 21:00:00,Delhi,Online,4,181,2356
Men Clothing,Shorts,488,2024-01-12 22:00:00,Ludhiana,Offline,1,148,488
Stationery,Desk Organizer,464,2024-01-12 23:00:00,Patiala,Offline,1,59,464
Books,Fiction Novel,589,2024-01-13 00:00:00,Jalandhar,Online,12,114,7068
Men Clothing,Shorts,488,2024-01-13 01:00:00,Gurugram,Online,2,99,976
Women Clothing,Dress,2238,2024-01-13 02:00:00,Mohali,Offline,11,97,24618
Toys & Games,Doll House,1661,2024-01-13 03:00:00,Gurugram,Online,12,41,19932
Fitness Gear,Cycling Machine,9021,2024-01-13 04:00:00,Noida,Online,14,34,126294
Books,Cookbook,1455,2024-01-13 05:00:00,Delhi,Online,7,83,10185
Men Clothing,Shorts,488,2024-01-13 06:00:00,Amritsar,Online,14,84,6832
Home Decor,Curtains,819,2024-01-13 07:00:00,Amritsar,Offline,2,7,1638
Beauty & Personal Care,Sunscreen,1176,2024-01-13 08:00:00,Amritsar,Offline,3,199,3528
Kitchen Tools,Kettle,1252,2024-01-13 09:00:00,Patiala,Online,9,66,11268
Beauty & Personal Care,Shampoo,441,2024-01-13 10:00:00,Delhi,Offline,1,27,441
Men Clothing,Shorts,488,2024-01-13 11:00:00,Mohali,Online,6,50,2928
Stationery,Desk Organizer,464,2024-01-13 12:00:00,Jalandhar,Online,7,11,3248
Toys & Games,Puzzle,601,2024-01-13 13:00:00,Jalandhar,Offline,4,68,2404
Automotive,Microfiber Cloth,180,2024-01-13 14:00:00,Chandigarh,Offline,4,15,720
Books,Fiction Novel,589,2024-01-13 15:00:00,Patiala,Offline,5,126,2945
Footwear,Formal Shoes,1974,2024-01-13 16:00:00,Noida,Offline,11,7,21714
Fitness Gear,Jump Rope,589,2024-01-13 17:00:00,Ludhiana,Online,9,37,5301
Stationery,Art Colors,1480,2024-01-13 18:00:00,Jalandhar,Online,13,60,19240
Men Clothing,Sweater,520,2024-01-13 19:00:00,Chandigarh,Online,2,174,1040
Beauty & Personal Care,Lipstick,687,2024-01-13 20:00:00,Patiala,Online,9,187,6183
Electronics,Smartwatch,2269,2024-01-13 21:00:00,Gurugram,Online,12,195,27228
Footwear,Sneakers,848,2024-01-13 22:00:00,Mohali,Online,4,114,3392
Women Clothing,Top,766,2024-01-13 23:00:00,Patiala,Online,14,195,10724
Toys & Games,Board Game,1102,2024-01-14 00:00:00,Noida,Online,11,134,12122
Automotive,Helmet,1391,2024-01-14 01:00:00,Chandigarh,Online,2,67,2782
Furniture,Bookshelf,2794,2024-01-14 02:00:00,Amritsar,Online,12,153,33528
Electronics,Smartphone,70263,2024-01-14 03:00:00,Mohali,Offline,13,36,913419
